restaurant_name,online_order,book_table,rating,votes,phone,location,restaurant_type,dish_liked,cuisines,approx_cost_for_two,listed_in_type,listed_in_city,pricing_segment,rating_category
Flavours Radha Hometel,No,Yes,3.5,185,"+91 9980121279
+91 9900240645",Whitefield,Casual Dining,"Salads, Gulab Jamun, Breakfast Buffet, Fish, Lunch Buffet, French Toast, Chicken Wings","North Indian, Continental, Chinese, South Indian",800,Buffet,Brookefield,Premium,Average
Zodiac,No,No,3.6,62,"+91 9731207900
+91 8040200200",Whitefield,Casual Dining,"Lunch Buffet, Chicken Biryani","Italian, Mexican, Mediterranean, North Indian, Continental",1500,Buffet,Brookefield,Premium,Good
M Bar - Bengaluru Marriott Hotel Whitefield,No,No,3.9,75,080 49435000,Whitefield,"Fine Dining, Bar",Rooftop Ambience,Finger Food,2000,Buffet,Brookefield,Premium,Good
Citrus Cafe - Lemon Tree Hotel,No,No,3.8,118,"080 43311555
+91 9900047825",Whitefield,Casual Dining,Breakfast Buffet,"North Indian, Continental, South Indian, Asian",1900,Buffet,Brookefield,Premium,Good
Keys Cafe - Keys Hotel,No,No,2.8,161,"080 39451000
+91 8884038484",Whitefield,"Casual Dining, Bar","Salads, Coffee, Breakfast Buffet, Halwa, Chicken Biryani, Lunch Buffet, Noodles","Chinese, Continental, North Indian",1200,Buffet,Brookefield,Premium,Average
Southern Spice,No,Yes,3.0,83,"+91 9000701982
+91 9985278880",Whitefield,Casual Dining,"Raita, Lassi, Appam, Halwa",South Indian,1200,Buffet,Brookefield,Premium,Average
Paprica,Yes,No,2.6,118,"+91 9379978822
080 30208899",Marathahalli,"Casual Dining, Bar","Mocktails, Gulab Jamun, Chilli Chicken, Biryani, Lunch Buffet","North Indian, Chinese",1200,Buffet,Brookefield,Premium,Average
Elements - Mapple Express,No,No,2.9,51,080 40324032,Whitefield,Casual Dining,"Noodles, Salad","North Indian, Chinese, Fast Food",600,Buffet,Brookefield,Mid,Average
Mega Bite,No,Yes,3.6,54,"+91 9164752268
+91 8041985555",Whitefield,Casual Dining,"Breakfast Buffet, Paratha, Rice","North Indian, Chinese, South Indian, Continental",1100,Buffet,Brookefield,Premium,Good
Breads and Banter,No,Yes,4.2,65,080 49653437,Brookefield,"Cafe, Bakery","Tea, Pizza, New York Cheesecake, Hot Chocolate, Sunday Brunch","Cafe, Bakery, Fast Food",400,Cafes,Brookefield,Mid,Excellent
Onesta,Yes,Yes,4.3,840,"080 42090652
080 4250469",Brookefield,"Casual Dining, Cafe","Pasta, Virgin Mojito, Mousse, Barbeque Chicken Pizza, Cappuccino, Wedges, Thin Crust Pizza","Pizza, Cafe, Italian",600,Cafes,Brookefield,Mid,Excellent
Chai Galli,Yes,No,4.2,819,"+91 8041314000
+91 9980516040",Brookefield,Cafe,"Tea, Chai, Nachos, Poha, Veg Sandwich, Bombay Sandwich, Sandwiches","Cafe, Street Food",300,Cafes,Brookefield,Budget,Excellent
Mugs N Burgers,Yes,Yes,4.0,130,"080 43761188
+91 7348855333",Brookefield,Cafe,"Burgers, Pasta, Noodles, Shawarma, Tea, Cappuccino, Kit Kat Shake","Cafe, Burger, Chinese, Fast Food, Beverages",600,Cafes,Brookefield,Mid,Good
Refresh,Yes,Yes,3.2,501,"+91 8041466438
+91 9686000200",Brookefield,Cafe,"Poha, Masala Tea, Sandwiches, Pav Bhaji, Coffee, Egg Roll, Omelette","Cafe, Beverages",500,Cafes,Brookefield,Mid,Average
Madouk Cafe,No,No,4.0,72,+91 9164080309,Brookefield,Cafe,"Shawarma, Tea, Coffee, Chai",Cafe,500,Cafes,Brookefield,Mid,Good
Biggies Burger 'n' More,Yes,No,4.0,293,"+91 8884413444
+91 9880762237",Brookefield,Quick Bites,"Burgers, Hot Dog, Mint Mojito, French Fries, Bbq Burger, Lime Mojito, Grilled Burger","Cafe, Burger, Beverages",650,Cafes,Brookefield,Mid,Good
Cafe Coffee Day,No,No,2.3,30,+91 9071387859,Brookefield,Cafe,Coffee,"Cafe, Fast Food",900,Cafes,Brookefield,Premium,Poor
An Egg Story,No,No,4.1,701,+91 9986419110,Brookefield,Cafe,"Healthy Breakfast, English Breakfast, Caesar Salad, Burgers, Enchiladas, Sunday Brunch, Omelette","Cafe, Continental, American, Italian",600,Cafes,Brookefield,Mid,Excellent
Bloomsbury's Global Kitchen & Bakehouse,Yes,Yes,4.5,733,"080 46411455
080 46411466",Whitefield,"Cafe, Dessert Parlor","Pizza, Cheesecake, Burgers, Pasta, Waffles, Chocolate Cake, Veg Burger","American, Cafe, Continental, French, Burger, Mexican, Desserts, Pizza",900,Cafes,Brookefield,Premium,Excellent
Enchanted Garden,Yes,Yes,4.3,330,080 49653145,Whitefield,"Casual Dining, Cafe","Burgers, Pav Bhaji, Paneer Tikka, Salad, Sandwiches, Pasta, Pizza","North Indian, Continental, Italian, Cafe",1400,Cafes,Brookefield,Premium,Excellent
Cafe Thulp,Yes,No,3.4,54,"+91 8892894103
+91 7204273213","ITPL Main Road, Whitefield",Cafe,"Burgers, Pasta Alfredo, Pork Burger, Pizza","Cafe, Burger, Italian, Salad",1000,Cafes,Brookefield,Premium,Average
Oregano Soul Food,Yes,No,4.1,142,+91 8867266627,Whitefield,Cafe,"Sandwiches, Club Chicken Sandwich, Pizza, White Sauce Pasta, Coffee, Tomato Basil Pasta, Garlic Bread",Cafe,700,Cafes,Brookefield,Mid,Excellent
The Chocolate Heaven,Yes,No,3.1,175,080 28029534,Whitefield,"Dessert Parlor, Quick Bites","Waffles, Pizza, Coffee, Burgers, Hot Chocolate, Fries, Pancakes","Desserts, Cafe",600,Cafes,Brookefield,Mid,Average
Chai Mania,Yes,No,2.8,67,+91 9900566316,Marathahalli,Cafe,"Ginger Tea, Paratha, Poha, Chai, Chaai","Cafe, Tea, Beverages",300,Cafes,Brookefield,Budget,Average
Whitefield Baking Company - Bengaluru Marriott Hotel...,No,No,3.9,57,080 49435000,Whitefield,"Bakery, Cafe","Coffee, Opera Pastry, Masala Tea","Bakery, Cafe",400,Cafes,Brookefield,Mid,Good
Spice Boulevard,No,No,3.9,90,"+91 7619180369
+91 7349298056",Whitefield,Cafe,"Sandwich, Pancakes, Garlic Bread, Coffee, Nachos, Pasta Alfredo, Wine","Cafe, Continental, Chinese",700,Cafes,Brookefield,Mid,Good
Empire Restaurant,Yes,No,3.5,156,"080 43334321
+91 9916767287","Varthur Main Road, Whitefield","Takeaway, Delivery","Roti, Shawarma, Tandoori Chicken, Paratha, Egg Noodles","Kerala, Seafood, South Indian, Chinese, North Indian, Charcoal Chicken, Beverages",400,Delivery,Brookefield,Mid,Average
Midnight Mania,Yes,No,3.8,599,"080 41246968
+91 7892104269",Marathahalli,Delivery,"Veggie Pizza, Pasta, Peri Peri Pizza, Garlic Bread, Margherita Pizza","Pizza, Italian, Beverages",700,Delivery,Brookefield,Mid,Good
Buddha Treats,Yes,No,4.2,351,"+91 8971954197
+91 9739604557",Brookefield,Casual Dining,"Momos, Chilli Chicken, Sweet Corn Chicken Soup, Wonton Soup, Crispy Noodle, Chicken Garlic Noodle","Chinese, Thai",600,Delivery,Brookefield,Mid,Excellent
La-Pizza,Yes,No,3.6,151,+91 9611311662,East Bangalore,Delivery,"Pasta, Burgers, Farm Pizza, Fries","Italian, Pizza, Burger",450,Delivery,Brookefield,Mid,Good
DinePost9,Yes,No,3.8,798,+91 9611311662,Marathahalli,Delivery,"Chicken Manchurian, Biryani, Chicken Butter Masala, Tandoori Chicken, Paneer Curry, Dal Fry, Gulab Jamun","North Indian, South Indian, Chinese, Continental",450,Delivery,Brookefield,Mid,Good
Fish Chain,Yes,No,3.8,78,+91 7676564444,"Varthur Main Road, Whitefield","Takeaway, Delivery",Biryani,"Seafood, BBQ, Biryani",250,Delivery,Brookefield,Budget,Good
Night Food Joint,Yes,No,2.8,295,"+91 8880117700
+91 8880779922",Marathahalli,Delivery,"Paratha, Noodles","North Indian, Chinese",500,Delivery,Brookefield,Mid,Average
Roti Ghar Ki,Yes,No,4.0,107,"+91 6363181814
+91 8317471518",Whitefield,Quick Bites,"Chole, Paratha, Rajma","North Indian, Chinese, Biryani",400,Delivery,Brookefield,Mid,Good
Techies Kitchen,Yes,No,3.6,193,+91 9880329528,"ITPL Main Road, Whitefield",Delivery,"Chicken Biryani, Aloo Paratha","Biryani, North Indian",400,Delivery,Brookefield,Mid,Good
Imperio Restaurant,Yes,Yes,4.2,767,080 61525151,Brookefield,Casual Dining,"Hyderabadi Biryani, Chicken Kebab, Corn Paratha, Chicken Dosa, Butter Chicken, Fish, Malabari Biryani","North Indian, Arabian, Mughlai, Biryani, Seafood, Beverages",700,Delivery,Brookefield,Mid,Excellent
BITEBOX,Yes,No,4.4,150,080 49652513,Marathahalli,Quick Bites,"Biryani, Sandwich, Thali, Roti, Shahi Paneer","North Indian, Chinese, Fast Food, Beverages, Desserts",300,Delivery,Brookefield,Budget,Excellent
Tandoor Box,Yes,No,3.5,69,080 41566645,Brookefield,Casual Dining,"Dal Makhani, Butter Chicken, Tandoori Momos","Mughlai, North Indian, Biryani",850,Delivery,Brookefield,Premium,Average
Eatzgreen,Yes,No,3.8,58,"+91 8043020905
+91 9945737438",Marathahalli,Quick Bites,"Paratha, Thali","Healthy Food, South Indian, Fast Food, North Indian, Beverages",500,Delivery,Brookefield,Mid,Good
Biryani Day,Yes,No,3.7,751,"+91 8884116111
+91 9986095851",Marathahalli,Casual Dining,"Tandoori Chicken, Chicken Boneless Biryani, Paneer Biryani","North Indian, Chinese, Biryani, Andhra",500,Delivery,Brookefield,Mid,Good
Cafe Coffee Day,Yes,No,3.6,97,"+91 9071380515
+91 7259252319",Marathahalli,Cafe,"Coffee, Cappuccino, Sandwiches, Chocolate Fantasy, Tea, Nachos, Brownie",Cafe,650,Delivery,Brookefield,Mid,Good
Dehati Murgee,Yes,No,4.0,151,+91 9905078910,Whitefield,Quick Bites,"Laccha Paratha, Murgh Lababdar, Biryani, Mutton Bhuna Gosht, Litti, Bhuna Chicken","North Indian, Mughlai",600,Delivery,Brookefield,Mid,Good
Refresh,Yes,No,3.6,297,"080 28456455
+91 9686462426",Whitefield,Quick Bites,"Poha, Vada Pav, Tea, Sandwiches, Chicken Sandwich, French Omelette, French Fries","Continental, Chinese, Fast Food, Rolls, Momos",400,Delivery,Brookefield,Mid,Good
MealsTree,Yes,No,3.6,162,080 45128827,Marathahalli,Delivery,Chana Daal,North Indian,400,Delivery,Brookefield,Mid,Good
Treatley,Yes,No,3.3,405,"+91 7406670771
+91 7406667474",Whitefield,Delivery,"Dal Makhani, Rice Bowl, Butter Chicken Box, Cheese Paratha, Panneer Butter Masala","North Indian, Fast Food",500,Delivery,Brookefield,Mid,Average
Game Of Tandoors,Yes,No,3.7,241,"+91 9902271889
+91 8073020727",Marathahalli,Quick Bites,"Rabri, Naan, Chaap, Raita, Tandoori Chicken, Tangdi Kabab, Dal Makhani","North Indian, Rolls",400,Delivery,Brookefield,Mid,Good
Mojo Pizza - 2X Toppings,Yes,No,4.3,200,022 33252828,"ITPL Main Road, Whitefield","Takeaway, Delivery","Chicken Wings, Garlic Bread, Cheesy Pizza, Chocolava Cake, Paneer Tikka Pizza, Chicken Tikka Pizza, House Pizza",Pizza,600,Delivery,Brookefield,Mid,Excellent
Yo! Chow,Yes,Yes,4.4,1777,080 40980666,Marathahalli,Casual Dining,"Noodles, Garlic Butter Noodle, Momos, Chicken Soup, Vanilla Ice Cream, Mocktails, Jasmine Tea","Chinese, Momos",800,Delivery,Brookefield,Premium,Excellent
Kanti Sweets,Yes,No,4.2,218,"080 22960660
080 40990661",Brookefield,Sweet Shop,"Mysore Pak, Ladoo, Rasgulla","Mithai, Street Food",400,Delivery,Brookefield,Mid,Excellent
Food Zone,Yes,No,3.4,308,"+91 8060505568
+91 7760907582",Marathahalli,Quick Bites,"Roti, Fish Fry, Egg Noodles","North Indian, Chinese",300,Delivery,Brookefield,Budget,Average
Udupi Grand Veg,Yes,No,3.0,208,+91 9066699970,Marathahalli,Quick Bites,"Chole, Roti, Vada",South Indian,450,Delivery,Brookefield,Mid,Average
Village Restaurant,Yes,No,3.5,338,080 49653578,Marathahalli,Casual Dining,"Naan, Kulcha, Panneer Butter Masala, Appam, Malabari Biryani, Tea, Al Faham Chicken","Arabian, Chinese, Kerala, North Indian, Biryani",1000,Delivery,Brookefield,Premium,Average
The Bahubali,Yes,Yes,3.5,151,+91 7337625805,Marathahalli,Casual Dining,"Paratha, Kulcha, Biryani, Dal Makhani","North Indian, Chinese",800,Delivery,Brookefield,Premium,Average
Alpha - House of Biryani & Tandoor,Yes,No,3.3,387,"+91 9742213284
+91 9591594367",Whitefield,Casual Dining,"Raita, Paneer Biryani","Biryani, North Indian, Chinese",800,Delivery,Brookefield,Premium,Average
Dilli Darbar,Yes,No,3.4,372,"+91 9742213284
+91 9591594367",Whitefield,Casual Dining,"Thali, Manchurian, Chicken Keema, Chicken Biryani, Butter Chicken, Paneer Mirch Masala, Naan","North Indian, Chinese, Biryani",500,Delivery,Brookefield,Mid,Average
McDonald's,Yes,No,3.0,394,080 66000666,Brookefield,Quick Bites,"Burgers, Mcmuffin, French Fries, Waffles, Pancakes, Mc Veggie, Coffee","Burger, Fast Food",500,Delivery,Brookefield,Mid,Average
Handi Biryani,Yes,No,3.9,84,"+91 9591857339
+91 7022900643",Marathahalli,Quick Bites,"Dum Biryani, Hyderabadi Biryani","Hyderabadi, Biryani",300,Delivery,Brookefield,Budget,Good
Food Mood,Yes,No,3.7,52,+91 8904770851,Whitefield,Delivery,Liti Chokha,North Indian,350,Delivery,Brookefield,Mid,Good
InnerChef,Yes,No,3.7,175,"+91 7975788662
+91 8722274796",Whitefield,Delivery,"Salads, Butter Chicken Roll, Chocolate Cake, Dal Makhani, Brownie, Paratha, Pasta","North Indian, Continental",500,Delivery,Brookefield,Mid,Good
Dock Frost'd,Yes,No,4.6,110,080 48904890,Marathahalli,"Beverage Shop, Dessert Parlor","Kala Jamun, Fruit Shake, Waffles, Chocolate Dessert","Beverages, Desserts",400,Delivery,Brookefield,Mid,Excellent
Tandoori Junction,Yes,No,3.9,81,"+91 9738529661
+91 8892062559",Marathahalli,Quick Bites,Tandoori Chicken,"North Indian, Chinese, Biryani",400,Delivery,Brookefield,Mid,Good
Dil Punjabi,Yes,No,2.6,158,+91 9886001722,Marathahalli,Quick Bites,Paratha,North Indian,300,Delivery,Brookefield,Budget,Average
Kerala Tiffin,Yes,No,3.9,162,+91 7907943091,Whitefield,Delivery,Appam,Kerala,300,Delivery,Brookefield,Budget,Good
The Bawarchi,Yes,No,2.6,329,+91 9739977771,Marathahalli,Casual Dining,"Hyderabadi Biryani, Roti, Chicken Dum Biryani, Pepper Chicken, Chicken Masala, Gongura Chicken, Veg Platter","Hyderabadi, North Indian, Chinese, Biryani",700,Delivery,Brookefield,Mid,Average
Eat Eroo - Bombay Vada Pav,Yes,No,4.0,306,"+91 7411125444
+91 9341114321",Marathahalli,Quick Bites,"Dabeli, Pav Bhaji, Cheese Vada Pav",Street Food,150,Delivery,Brookefield,Budget,Good
Damodar Seth,Yes,No,3.1,152,"+91 9740548804
+91 8240605059",Marathahalli,Casual Dining,"Thali, Fish Fry, Alur Dom, Aalo Bhaja","Bengali, Chinese, North Indian",600,Delivery,Brookefield,Mid,Average
BOX8- Desi Meals,Yes,No,4.2,78,022 33552698,Whitefield,"Takeaway, Delivery","Paratha, Chicken Tikka Biryani, Basmati Rice, Rajma, Dal Makhani","North Indian, Mughlai, Fast Food",500,Delivery,Brookefield,Mid,Excellent
Ande Ka Funda,Yes,No,3.3,225,+91 9036527030,Marathahalli,Quick Bites,Paratha,"North Indian, Fast Food, Rolls",250,Delivery,Brookefield,Budget,Average
Satakarni,Yes,No,3.1,216,"+91 9108620017
+91 9108620064",Marathahalli,Casual Dining,Chicken Biryani,"Chinese, South Indian, Andhra, North Indian, Biryani",650,Delivery,Brookefield,Mid,Average
Lassi Corner,Yes,No,3.3,68,+91 7619354952,Marathahalli,"Beverage Shop, Quick Bites","Sandwiches, Lassi, Berry Delight, Faluda, Oreo Shake","Beverages, Sandwich",250,Delivery,Brookefield,Budget,Average
Orbis Restaurant,Yes,Yes,3.9,1117,"080 40990088
080 40996655",Whitefield,Casual Dining,"Chicken Biryani, Burgers, Halwa, Shawarma Roll, Malabari Biryani, Noodles, Barbeque Chicken","Arabian, North Indian, Chinese, Salad, Beverages",750,Delivery,Brookefield,Premium,Good
Domino's Pizza,Yes,No,3.0,458,"080 49628888
18602100000",Brookefield,Quick Bites,"Pizza, Garlic Bread","Pizza, Fast Food",800,Delivery,Brookefield,Premium,Average
Cream Stone,Yes,No,4.1,502,080 48654145,Marathahalli,Dessert Parlor,"Waffles, Vanilla Ice Cream, Hot Chocolate Fudge, Coffee, Brownie, Tiramisu, Chocolava","Desserts, Beverages",500,Delivery,Brookefield,Mid,Excellent
The Waffcake Legacy,Yes,No,4.0,167,+91 8971283161,Marathahalli,Dessert Parlor,"Waffles, Pancakes, Liti Chokha, Ginger Tea, Maggi, Hot Chocolate, Chaat","Desserts, Street Food, Sandwich, Beverages",350,Delivery,Brookefield,Mid,Good
Warm Oven,Yes,No,4.0,171,"00 888023323
+91 8197170008",Whitefield,Bakery,Chocolate Cake,"Bakery, Desserts",500,Delivery,Brookefield,Mid,Good
Kesar Sweet Shop and Fast Food,No,No,4.1,1123,"+91 7760039922
+91 9886327139",Brookefield,Quick Bites,"Chole Bhature, Jalebi, Chaat, Puri Sabzi, Buttermilk, Dhokla, Panipuri","North Indian, South Indian, Chinese, Street Food, Mithai",500,Delivery,Brookefield,Mid,Excellent
Breads and Banter,No,Yes,4.2,65,080 49653437,Brookefield,"Cafe, Bakery","Tea, Pizza, New York Cheesecake, Hot Chocolate, Sunday Brunch","Cafe, Bakery, Fast Food",400,Delivery,Brookefield,Mid,Excellent
Imperia Restaurant,Yes,No,2.4,125,"+91 9986380325
+91 8880004241",Whitefield,Casual Dining,"Chicken Grill, Biryani","North Indian, Chinese, Arabian, Biryani, Fast Food",500,Delivery,Brookefield,Mid,Poor
Kaati Zone,Yes,No,3.3,184,"080 65660000
+91 9916492808",Marathahalli,Quick Bites,"Rolls, Falafel, Biryani, Paratha","Fast Food, Biryani, Rolls",350,Delivery,Brookefield,Mid,Average
The Paratha Company,Yes,No,4.2,402,+91 7619605612,Whitefield,Delivery,"Kheer, Dhaniya Chutney, Paneer Parantha, Sattu Paratha, Aloo Paratha, Liti Chokha, Salad",North Indian,400,Delivery,Brookefield,Mid,Excellent
Enchanted Garden,Yes,Yes,4.3,330,080 49653145,Whitefield,"Casual Dining, Cafe","Burgers, Pav Bhaji, Paneer Tikka, Salad, Sandwiches, Pasta, Pizza","North Indian, Continental, Italian, Cafe",1400,Delivery,Brookefield,Premium,Excellent
Imperial Restaurant,Yes,No,3.7,487,"+91 8028475809
+91 9611503809",Marathahalli,Casual Dining,"Mutton Roganjosh, Shawarma, Chicken Biryani, Raita, Chicken Kebab, Tandoori Chicken, Butter Naan","Biryani, Mughlai, Chinese, Arabian",700,Delivery,Brookefield,Mid,Good
Chatora,Yes,No,3.5,108,080 49653515,Marathahalli,Quick Bites,"Chole Bhature, Paratha, Veg Thali, Poori Bhaji, Chaat, Chhole Bhature","North Indian, Fast Food, Street Food",300,Delivery,Brookefield,Budget,Average
Firangi Bake,Yes,No,4.1,48,+91 7710090007,Marathahalli,Delivery,"Garlic Bread, Minced Chicken Lasagne","Mexican, Italian",600,Delivery,Brookefield,Mid,Excellent
FreshMenu,Yes,No,3.2,835,+91 9019245000,Whitefield,Delivery,"Salads, Noodles, Salad, Pizza, Pasta, Mousse, Sandwiches","Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",450,Delivery,Brookefield,Mid,Average
Meghana Foods Grand,Yes,No,4.2,3336,080 49652993,Marathahalli,Casual Dining,"Andhra Thali, Veg Thali, Lollipop Biryani, Chicken Boneless Biryani, Hyderabadi Biryani, Mutton Biryani, Vegetable Biryani","Biryani, Seafood, Andhra, North Indian",600,Delivery,Brookefield,Mid,Excellent
Burger King,Yes,No,3.9,114,022 33558000,"ITPL Main Road, Whitefield",Quick Bites,"Burgers, Fries","Burger, Fast Food, Beverages",600,Delivery,Brookefield,Mid,Good
Foodism,Yes,No,4.1,319,+91 9606706806,Marathahalli,Delivery,"Poha, Nachos, Sweet Lassi, Aloo Paratha, Chole Bhature, Paneer Parantha, Palak Paneer","North Indian, Chinese",300,Delivery,Brookefield,Budget,Excellent
HOMMS,Yes,No,4.5,224,080 49652648,Marathahalli,Quick Bites,"Tandoori Momos, Pasta, Afghani Momos, Chicken Wings, Roasted Chilli","Chinese, Beverages, Momos, Thai",300,Delivery,Brookefield,Budget,Excellent
Salem Kitchen,No,No,3.4,230,"+91 9742333363
+91 9739788859",Brookefield,Casual Dining,"Chicken Sukha, Butter Chicken, Panneer Butter Masala, Masala Prawn, Chicken Curry, Biryani, Paratha","Chettinad, Chinese, South Indian",550,Delivery,Brookefield,Mid,Average
Pizza Hut,Yes,No,3.7,486,080 39883988,"ITPL Main Road, Whitefield",Quick Bites,"Pane Pizza, Garlic Bread, Thin Crust Pizza, Paneer Pizza, Pepperoni, Pasta",Pizza,750,Delivery,Brookefield,Premium,Good
Artinci Artisanal Ice Cream,Yes,No,4.0,58,080 45128740,Whitefield,Dessert Parlor,"Vanilla Ice Cream, Hot Chocolate Fudge, Chocolate Icecreams","Desserts, Ice Cream",300,Delivery,Brookefield,Budget,Good
Amanthrana Gardenia,Yes,No,3.8,107,+91 9880505878,Brookefield,Casual Dining,"Neer Dosa, Biryani, Chicken Curry, Murgh Ghee Roast, Manchow Soup, Chicken Sukha","North Indian, Andhra, BBQ, Seafood, Chinese",800,Delivery,Brookefield,Premium,Good
M.M.A. Kabab's & Biriyani Center,Yes,No,3.2,789,+91 9901251691,Brookefield,Quick Bites,"Biryani, Chicken Grill, Roast Chicken, Tandoori Chicken, Pepper Chicken, Roti, Rolls","Arabian, Mughlai, Chinese, Kebab, Fast Food",400,Delivery,Brookefield,Mid,Average
Samosa Singh,Yes,No,4.0,239,+91 7338547202,Marathahalli,Quick Bites,"Veg Platter, Chicken Kebab Roll, Chai, Aloo Samosa, Chicken Samosa","Street Food, Fast Food, Rolls, Desserts",200,Delivery,Brookefield,Budget,Good
The Early bell,Yes,No,3.9,191,"+91 9640890447
+91 8884644321",Whitefield,Quick Bites,"Sandwich, Paratha, Poha, Sandwiches, Idli Vada, Tea, Roti","North Indian, Chinese",300,Delivery,Brookefield,Budget,Good
Faasos,Yes,No,4.0,176,+91 7700020020,"ITPL Main Road, Whitefield",Delivery,"Chicken Wrap, Rolls, Veggie Wrap, Paneer Wrap, Meatballs, Paratha, Chicken Roll","North Indian, Biryani, Fast Food",500,Delivery,Brookefield,Mid,Good
Maria Taste Circle,Yes,No,3.9,666,"+91 9035520077
+91 9035520088",Marathahalli,Casual Dining,"Appam, Paratha, Crab Masala, Tea, Mutton Stew, Fish, Chicken Masala","South Indian, North Indian, Kerala, Seafood",450,Delivery,Brookefield,Mid,Good
Punjabi Tasty Khana,Yes,No,3.1,158,"+91 9743397692
+91 8497060061",Brookefield,Quick Bites,"Panneer Butter Masala, Paratha, Vegetable Biryani","North Indian, Chinese, Biryani",450,Delivery,Brookefield,Mid,Average
Maa Bhook Lagi,Yes,No,4.0,901,+91 7411474341,Whitefield,Delivery,"Kheer, Raita, Custard, Rajma Chawal, Gulab Jamun, Aloo Paratha, Chole",North Indian,400,Delivery,Brookefield,Mid,Good
Chatpatlal Sweets & Snacks,Yes,No,4.2,334,"+91 8043020071
+91 9052503366",Marathahalli,"Quick Bites, Sweet Shop","Chaat, Ginger Tea, Club Kachori, Samosa, Aloo Paratha, Thali, Dhokla","Street Food, Mithai, North Indian, Beverages, Desserts",200,Delivery,Brookefield,Budget,Excellent
Shan-e-Punjabi Express,Yes,No,3.1,71,"+91 9945993405
+91 8065623405",Whitefield,Quick Bites,Chicken Biryani,North Indian,400,Delivery,Brookefield,Mid,Average
Paradise,Yes,Yes,3.9,1644,"+91 9513477576
+91 9886225506",Whitefield,Casual Dining,"Chicken Biryani, Mutton Biryani, Vegetable Biryani, Mutton Seekh Kebab, Hyderabadi Dum Biryani, Chicken Tenders, Egg Biryani","Biryani, North Indian, Kebab",800,Delivery,Brookefield,Premium,Good
Le Gateau - The Cake Shop,Yes,No,4.4,536,080 45128785,Old Airport Road,Delivery,"Cup Cake, Fruit Gateau, Sponge Cake, Mango Cake, Eggless Cake, Chocolate Truffle Cake, Cheesecake","Desserts, Bakery",600,Delivery,Brookefield,Mid,Excellent
Corner House Ice Cream,Yes,No,4.5,949,+91 9880851151,Marathahalli,Dessert Parlor,"Ice Cream Sundae, Fruit Salad, Hot Chocolate Fudge, Brownie, Chocolate Mousse, Chocolate Icecreams, Almond Fudge","Ice Cream, Desserts",400,Delivery,Brookefield,Mid,Excellent
Stonelicious,Yes,No,4.1,284,+91 8123000323,Marathahalli,Dessert Parlor,"Waffles, Chocolate Avalanche, Chocolate Volcano, Lava Cake","Desserts, Ice Cream",300,Delivery,Brookefield,Budget,Excellent
Udupi Delux,No,No,2.6,140,"080 28543071
+91 9743532388",Brookefield,Casual Dining,"Ginger Tea, Roti, Dal Tadka, Naan, Rava Masala Dosa","South Indian, North Indian, Chinese",400,Delivery,Brookefield,Mid,Average
Kritunga Restaurant,No,No,2.9,595,"+91 8000969666
+91 7348971717",Brookefield,Casual Dining,"Bhindi Fry, Paneer Biryani, Bamboo Chicken, Vegetable Biryani, Mushroom Biryani, Sweet Corn Soup, Butter Naan","Andhra, Biryani, North Indian, Chinese",650,Delivery,Brookefield,Mid,Average
Rekha Restaurant,No,No,3.6,97,"+91 9986402925
+91 7204900559",Brookefield,Quick Bites,"Fish, Paratha, Fried Rice","North Indian, Chinese",450,Delivery,Brookefield,Mid,Good
Cold Stone Creamery,Yes,No,4.3,501,080 46411444,Whitefield,Dessert Parlor,"Chocolate Devotion, Pomegranate Sorbet, Waffles, Brownie, Apple Pie, Cheesecake Ice Cream, Coffee","Ice Cream, Desserts",400,Delivery,Brookefield,Mid,Excellent
Foodies Delight,Yes,No,3.8,178,"+91 9916175915
+91 7349521898",Whitefield,Quick Bites,"Sandwich, Gujarati Food, Pav Bhaji, Tea, Thali, Panipuri","North Indian, Fast Food, Beverages",400,Delivery,Brookefield,Mid,Good
Ovenstory Pizza,Yes,No,4.1,74,+91 7738383000,Marathahalli,Delivery,"Chocolava, Paneer Pizza",Pizza,750,Delivery,Brookefield,Premium,Excellent
Biggies Burger 'n' More,Yes,No,3.8,63,"+91 7899673165
+91 9164017799",Marathahalli,Cafe,"Burgers, Fries, Mojito, Coffee, Hot Dog, American Cheese Burger","Cafe, Burger, Beverages",650,Delivery,Brookefield,Mid,Good
TBC - The Breakfast Company,Yes,No,3.8,26,+91 8310400223,Marathahalli,Quick Bites,"Poha, Aloo Paratha","Bihari, North Indian, South Indian",150,Delivery,Brookefield,Budget,Good
Shanmukha,Yes,No,4.0,546,080 49652481,Brookefield,Casual Dining,"Raita, Chicken Biryani, Mutton Biryani, Vegetable Biryani, Chicken Curry, Prawn, Gulab Jamun","Biryani, Andhra, North Indian, Chinese",800,Delivery,Brookefield,Premium,Good
Office Lunch Box,Yes,No,3.7,111,"+91 7338220909
+91 7338220808",Whitefield,Delivery,"Chicken Curry, Biryani","Andhra, North Indian",200,Delivery,Brookefield,Budget,Good
Desi Khana,Yes,No,3.4,242,+91 9886061245,"Varthur Main Road, Whitefield",Quick Bites,"Dal Makhani, Paneer Thali",North Indian,300,Delivery,Brookefield,Budget,Average
